node,NoT,NoR,Node_degree,sent_gas,received_gas,total_gas
18032,1.0,0.0,1.0,49084.0,0.0,49084.0
18033,0.0,1.0,1.0,0.0,49084.0,49084.0
18034,1.0,0.0,1.0,20001.0,0.0,20001.0
18035,1.0,0.0,1.0,349412.0,0.0,349412.0
18036,0.0,1.0,1.0,0.0,21000.0,21000.0
18037,1.0,0.0,1.0,21000.0,0.0,21000.0
18038,1.0,0.0,1.0,46762.0,0.0,46762.0
18039,1.0,0.0,1.0,31097.0,0.0,31097.0
18040,0.0,1.0,1.0,0.0,21000.0,21000.0
18041,1.0,0.0,1.0,21944.0,0.0,21944.0
18042,1.0,0.0,1.0,197025.0,0.0,197025.0
18043,1.0,0.0,1.0,21000.0,0.0,21000.0
18044,1.0,0.0,1.0,21000.0,0.0,21000.0
18045,0.0,1.0,1.0,0.0,21000.0,21000.0
18046,0.0,2.0,2.0,0.0,42000.0,42000.0
18047,1.0,0.0,1.0,46109.0,0.0,46109.0
18048,0.0,1.0,1.0,0.0,21000.0,21000.0
18049,1.0,0.0,1.0,21000.0,0.0,21000.0
18050,1.0,0.0,1.0,34573.0,0.0,34573.0
18051,1.0,0.0,1.0,139365.0,0.0,139365.0
18052,1.0,0.0,1.0,31109.0,0.0,31109.0
18053,1.0,0.0,1.0,24061.0,0.0,24061.0
18054,0.0,2.0,2.0,0.0,70327.0,70327.0
18055,0.0,1.0,1.0,0.0,73911.0,73911.0
18056,1.0,0.0,1.0,21000.0,0.0,21000.0
18057,1.0,0.0,1.0,21000.0,0.0,21000.0
18058,1.0,0.0,1.0,46626.0,0.0,46626.0
18059,0.0,1.0,1.0,0.0,21000.0,21000.0
18060,0.0,1.0,1.0,0.0,21000.0,21000.0
18061,0.0,1.0,1.0,0.0,21000.0,21000.0
18062,2.0,0.0,2.0,92563.0,0.0,92563.0
18063,0.0,1.0,1.0,0.0,46142.0,46142.0
18064,1.0,0.0,1.0,21000.0,0.0,21000.0
18065,0.0,1.0,1.0,0.0,21000.0,21000.0
18066,1.0,0.0,1.0,21000.0,0.0,21000.0
18067,2.0,0.0,2.0,248070.0,0.0,248070.0
18068,0.0,1.0,1.0,0.0,99703.0,99703.0
18069,1.0,0.0,1.0,21000.0,0.0,21000.0
18070,1.0,0.0,1.0,36944.0,0.0,36944.0
18071,0.0,1.0,1.0,0.0,21000.0,21000.0
18072,0.0,1.0,1.0,0.0,21000.0,21000.0
18073,1.0,0.0,1.0,66327.0,0.0,66327.0
18074,0.0,1.0,1.0,0.0,66327.0,66327.0
18075,1.0,0.0,1.0,21000.0,0.0,21000.0
18076,1.0,0.0,1.0,31109.0,0.0,31109.0
18077,0.0,1.0,1.0,0.0,21000.0,21000.0
18078,0.0,1.0,1.0,0.0,179849.0,179849.0
18079,1.0,0.0,1.0,21000.0,0.0,21000.0
18080,0.0,1.0,1.0,0.0,21000.0,21000.0
18081,1.0,0.0,1.0,21000.0,0.0,21000.0
18082,0.0,1.0,1.0,0.0,21000.0,21000.0
18083,1.0,0.0,1.0,34728.0,0.0,34728.0
18084,0.0,1.0,1.0,0.0,34728.0,34728.0
18085,1.0,0.0,1.0,21000.0,0.0,21000.0
18086,0.0,1.0,1.0,0.0,21000.0,21000.0
18087,1.0,0.0,1.0,46109.0,0.0,46109.0
18088,1.0,0.0,1.0,21000.0,0.0,21000.0
18089,1.0,0.0,1.0,21000.0,0.0,21000.0
18090,0.0,1.0,1.0,0.0,21000.0,21000.0
18091,0.0,1.0,1.0,0.0,21000.0,21000.0
18092,0.0,1.0,1.0,0.0,21000.0,21000.0
18093,1.0,0.0,1.0,88597.0,0.0,88597.0
18094,0.0,1.0,1.0,0.0,39439.0,39439.0
18095,1.0,0.0,1.0,21000.0,0.0,21000.0
18096,1.0,0.0,1.0,81454.0,0.0,81454.0
18097,1.0,0.0,1.0,21000.0,0.0,21000.0
18098,1.0,0.0,1.0,31109.0,0.0,31109.0
18099,1.0,0.0,1.0,90277.0,0.0,90277.0
18100,0.0,1.0,1.0,0.0,21000.0,21000.0
